No.,Total Distance
1,0.04999999999999995
2,0.051083808461956065
3,0.054404581770846026
4,0.06041287921543995
5,0.07006703928285653
6,0.0851699457273791
7,0.1090486385053816
8,0.14840219236805388
9,0.2174565930709502
10,0.34969144010408554
11,0.6369723932777153
12,1.3967592035880676
13,4.297409327479564
